Error_Code;Anzahl_Meldungen;Gesamtdauer_Störung_Sekunden
1001;29;3015,15
1005;8;2239,48
1006;1;41,65
1010;155;22627,89
1013;3;0,00
1019;275;14754,29
1024;2;60,39
1036;9;878,45
1082;7;262,75
1095;23;7658,83
1130;1;30,21
1131;1;173,11
1152;11;5894,40
1168;72;1872,31
1171;19;542,45
1175;53;9545,51
1176;1;39,43
1177;2;41,76
1178;17;304,67
1179;15;1932,69
1181;15;753,47
1271;12;433,02
1273;23;4080,07
1331;79;4302,79
1427;38;2054,73
1498;36;17649,49
1562;106;4214,77
1604;5;220,31
1712;7;3717,32
1931;13;597,30
1950;148;14879,25
1952;1;88,60
1957;3;199,12
1985;1;463,68
1999;10;584,56
2030;174;39758,55
2104;23;2,31
2186;1;16,78
2264;1;96,56
2300;193;18729,25
